Cell_ID,Latitude,Longitude,Dominant_NUTS2,Dominant_NUTS0,Nuts0_ID,Nuts2_ID,IdClimateRoger,ClimateDescription,IdClimateAggregated,AggregatedClimateDescription
1,46.917,16.083,AT11,AT,1,1,7,Continental,7,Continental
2,47.083,16.25,AT11,AT,1,1,7,Continental,7,Continental
3,47.083,16.417,AT11,AT,1,1,7,Continental,7,Continental
4,47.25,16.083,AT11,AT,1,1,7,Continental,7,Continental
5,47.25,16.25,AT11,AT,1,1,7,Continental,7,Continental
6,47.25,16.417,AT11,AT,1,1,7,Continental,7,Continental
7,47.417,16.25,AT11,AT,1,1,7,Continental,7,Continental
8,47.417,16.417,AT11,AT,1,1,7,Continental,7,Continental
9,47.583,16.417,AT11,AT,1,1,7,Continental,7,Continental
10,47.583,16.583,AT11,AT,1,1,7,Continental,7,Continental
11,47.75,16.417,AT11,AT,1,1,7,Continental,7,Continental
12,47.75,16.583,AT11,AT,1,1,7,Continental,7,Continental
13,47.75,16.75,AT11,AT,1,1,7,Continental,7,Continental
14,47.75,16.917,AT11,AT,1,1,7,Continental,7,Continental
15,47.917,16.583,AT11,AT,1,1,7,Continental,7,Continental
16,47.917,16.75,AT11,AT,1,1,7,Continental,7,Continental
17,47.917,16.917,AT11,AT,1,1,7,Continental,7,Continental
18,47.917,17.083,AT11,AT,1,1,9,Pannonian,7,Continental
19,47.583,15.917,AT12,AT,1,2,7,Continental,7,Continental
20,47.583,16.083,AT12,AT,1,2,7,Continental,7,Continental
21,47.583,16.25,AT12,AT,1,2,7,Continental,7,Continental
22,47.75,14.917,AT12,AT,1,2,1,Alpine,1,Alpine
23,47.75,15.083,AT12,AT,1,2,1,Alpine,1,Alpine
24,47.75,15.583,AT12,AT,1,2,1,Alpine,1,Alpine
25,47.75,15.75,AT12,AT,1,2,1,Alpine,1,Alpine
26,47.75,15.917,AT12,AT,1,2,1,Alpine,1,Alpine
27,47.75,16.083,AT12,AT,1,2,7,Continental,7,Continental
28,47.75,16.25,AT12,AT,1,2,7,Continental,7,Continental
29,47.917,14.75,AT12,AT,1,2,7,Continental,7,Continental
30,47.917,14.917,AT12,AT,1,2,1,Alpine,1,Alpine
31,47.917,15.083,AT12,AT,1,2,1,Alpine,1,Alpine
32,47.917,15.25,AT12,AT,1,2,1,Alpine,1,Alpine
33,47.917,15.417,AT12,AT,1,2,1,Alpine,1,Alpine
34,47.917,15.583,AT12,AT,1,2,1,Alpine,1,Alpine
35,47.917,15.75,AT12,AT,1,2,1,Alpine,1,Alpine
36,47.917,15.917,AT12,AT,1,2,1,Alpine,1,Alpine
37,47.917,16.083,AT12,AT,1,2,7,Continental,7,Continental
38,47.917,16.25,AT12,AT,1,2,7,Continental,7,Continental
39,47.917,16.417,AT12,AT,1,2,7,Continental,7,Continental
40,48.083,14.583,AT12,AT,1,2,7,Continental,7,Continental
41,48.083,14.75,AT12,AT,1,2,7,Continental,7,Continental
42,48.083,14.917,AT12,AT,1,2,7,Continental,7,Continental
43,48.083,15.083,AT12,AT,1,2,7,Continental,7,Continental
44,48.083,15.25,AT12,AT,1,2,7,Continental,7,Continental
45,48.083,15.417,AT12,AT,1,2,7,Continental,7,Continental
46,48.083,15.583,AT12,AT,1,2,7,Continental,7,Continental
47,48.083,15.75,AT12,AT,1,2,7,Continental,7,Continental
48,48.083,15.917,AT12,AT,1,2,1,Alpine,1,Alpine
49,48.083,16.083,AT12,AT,1,2,7,Continental,7,Continental
50,48.083,16.25,AT12,AT,1,2,7,Continental,7,Continental
51,48.083,16.417,AT12,AT,1,2,7,Continental,7,Continental
52,48.083,16.583,AT12,AT,1,2,7,Continental,7,Continental
53,48.083,16.75,AT12,AT,1,2,7,Continental,7,Continental
54,48.083,16.917,AT12,AT,1,2,7,Continental,7,Continental
55,48.25,15.083,AT12,AT,1,2,7,Continental,7,Continental
56,48.25,15.25,AT12,AT,1,2,7,Continental,7,Continental
57,48.25,15.417,AT12,AT,1,2,7,Continental,7,Continental
