"","Cell_ID","X","Y"
"1",1,160,73
"2",2,161,74
"3",3,162,74
"4",4,160,75
"5",5,161,75
"6",6,162,75
"7",7,161,76
"8",8,162,76
"9",9,162,77
"10",10,163,77
"11",11,162,78
"12",12,163,78
"13",13,164,78
"14",14,165,78
"15",15,163,79
"16",16,164,79
"17",17,165,79
"18",18,166,79
"19",19,159,77
"20",20,160,77
"21",21,161,77
"22",22,153,78
"23",23,154,78
"24",24,157,78
"25",25,158,78
"26",26,159,78
"27",27,160,78
"28",28,161,78
"29",29,152,79
"30",30,153,79
"31",31,154,79
"32",32,155,79
"33",33,156,79
"34",34,157,79
"35",35,158,79
"36",36,159,79
"37",37,160,79
"38",38,161,79
"39",39,162,79
"40",40,151,80
"41",41,152,80
"42",42,153,80
"43",43,154,80
"44",44,155,80
"45",45,156,80
"46",46,157,80
"47",47,158,80
"48",48,159,80
"49",49,160,80
"50",50,161,80
"51",51,162,80
"52",52,163,80
"53",53,164,80
"54",54,165,80
"55",55,154,81
"56",56,155,81
"57",57,156,81
"58",58,157,81
"59",59,158,81
"60",60,159,81
"61",61,160,81
"62",62,161,81
"63",63,163,81
"64",64,164,81
"65",65,165,81
"66",66,154,82
"67",67,155,82
"68",68,156,82
"69",69,157,82
"70",70,158,82
"71",71,159,82
"72",72,160,82
"73",73,161,82
"74",74,162,82
"75",75,163,82
"76",76,164,82
"77",77,152,83
"78",78,153,83
"79",79,154,83
"80",80,155,83
"81",81,156,83
"82",82,157,83
"83",83,158,83
"84",84,159,83
"85",85,160,83
"86",86,161,83
"87",87,162,83
"88",88,163,83
"89",89,164,83
"90",90,165,83
"91",91,153,84
"92",92,154,84
"93",93,155,84
"94",94,156,84
"95",95,157,84
"96",96,158,84
"97",97,159,84
"98",98,160,84
"99",99,162,84
"100",100,163,84
"101",101,154,85
"102",102,155,85
"103",103,156,85
"104",104,162,81
"105",105,143,71
"106",106,144,71
"107",107,145,71
"108",108,146,71
"109",109,147,71
"110",110,148,71
"111",111,149,71
"112",112,150,71
"113",113,151,71
"114",114,152,71
"115",115,141,72
"116",116,142,72
"117",117,143,72
"118",118,144,72
"119",119,145,72
"120",120,146,72
"121",121,147,72
"122",122,148,72
"123",123,149,72
"124",124,150,72
"125",125,151,72
"126",126,152,72
"127",127,153,72
"128",128,141,73
"129",129,142,73
"130",130,143,73
"131",131,144,73
"132",132,145,73
"133",133,146,73
"134",134,147,73
"135",135,148,73
"136",136,149,73
"137",137,150,73
"138",138,151,73
"139",139,152,73
"140",140,153,73
"141",141,140,74
"142",142,154,72
"143",143,155,72
"144",144,156,72
"145",145,157,72
"146",146,158,72
"147",147,159,72
"148",148,154,73
"149",149,155,73
"150",150,156,73
"151",151,157,73
"152",152,158,73
"153",153,159,73
"154",154,147,74
"155",155,148,74
"156",156,149,74
"157",157,150,74
"158",158,151,74
"159",159,152,74
"160",160,153,74
"161",161,154,74
"162",162,155,74
"163",163,156,74
"164",164,157,74
"165",165,158,74
"166",166,159,74
"167",167,160,74
"168",168,147,75
"169",169,148,75
"170",170,149,75
"171",171,150,75
"172",172,151,75
"173",173,152,75
"174",174,153,75
"175",175,154,75
"176",176,155,75
"177",177,156,75
"178",178,157,75
"179",179,158,75
"180",180,159,75
"181",181,146,76
"182",182,147,76
"183",183,148,76
"184",184,149,76
"185",185,150,76
"186",186,151,76
"187",187,152,76
"188",188,153,76
"189",189,154,76
"190",190,155,76
"191",191,156,76
"192",192,157,76
"193",193,158,76
"194",194,159,76
"195",195,160,76
"196",196,146,77
"197",197,147,77
"198",198,148,77
"199",199,149,77
"200",200,150,77
"201",201,151,77
"202",202,152,77
"203",203,153,77
"204",204,154,77
"205",205,155,77
"206",206,156,77
"207",207,157,77
"208",208,158,77
"209",209,152,78
"210",210,155,78
"211",211,156,78
"212",212,145,77
"213",213,145,78
"214",214,146,78
"215",215,147,78
"216",216,148,78
"217",217,149,78
"218",218,150,78
"219",219,151,78
"220",220,144,79
"221",221,145,79
"222",222,146,79
"223",223,147,79
"224",224,148,79
"225",225,149,79
"226",226,150,79
"227",227,151,79
"228",228,141,80
"229",229,142,80
"230",230,143,80
"231",231,144,80
"232",232,145,80
"233",233,146,80
"234",234,147,80
"235",235,148,80
"236",236,149,80
"237",237,150,80
"238",238,142,81
"239",239,143,81
"240",240,144,81
"241",241,145,81
"242",242,146,81
"243",243,147,81
"244",244,148,81
"245",245,149,81
"246",246,150,81
"247",247,151,81
"248",248,152,81
"249",249,153,81
"250",250,145,82
"251",251,146,82
"252",252,147,82
"253",253,148,82
"254",254,149,82
