Name,givingInDistributionMean,givingInDistributionSD,givingUpDistributionMean,givingUpDistributionSD,serviceLevelNoiseMin,serviceLevelNoiseMax,givingUpProb
EP,0.0005,0.00001,  0.0001,0.000005,0.90,1.10,0.10
Ext_AF,0.0005,0.00001,  0.0001,0.000005,0.90,1.10,0.10
IA,0.0002,0.00001,  0.0003,0.000015,0.95,1.05,0.25
Int_AF,0.0002,0.00001,  0.0003,0.000015,0.95,1.05,0.25
Int_Fa,0.0002,0.00001,  0.0003,0.000015,0.95,1.05,0.25
IP,0.0002,0.00001,  0.0003,0.000015,0.95,1.05,0.25
MF,0.0002,0.00001,  0.0003,0.000015,0.95,1.05,0.25
Min_man,0.0005,0.00001,  0.0001,0.000005,0.90,1.10,0.10
Mix_Fa,0.0002,0.00001,  0.0003,0.000015,0.95,1.05,0.25
Mix_For,0.0005,0.00001,  0.0001,0.000005,0.90,1.10,0.10
Mix_P,0.0005,0.00001,  0.0001,0.000005,0.90,1.10,0.10
Multifun,0.0005,0.00001,  0.0001,0.000005,0.90,1.10,0.10
P-Ur,0.0005,0.00001,  0.0001,0.000005,1.00,1.00,0.10
UL,0.0005,0.00001,  0.0001,0.000005,0.90,1.10,0.10
UMF,0.0005,0.00001,  0.0001,0.000005,0.90,1.10,0.10
Ur,0.0005,0.00001,100.0000,5.000000,1.00,1.00,0.10
VEP,0.0005,0.00001,  0.0001,0.000005,0.90,1.10,0.10
